source,participant-id,timestamp,total-steps,total-distance,tracker-distance,logged-activities-distance,very-active-distance,moderately-active-distance,light-active-distance,sedentary-active-distance,very-active-minutes,fairly-active-minutes,lightly-active-minutes,sedentary-minutes,calories
fitbit,3977333714,1460764800.0,13459,9,9,0,2.02999997138977,4,2.97000002861023,0,31,83,153,663,1625
fitbit,3977333714,1460851200.0,10415,6.96999979019165,6.96999979019165,0,0.699999988079071,2.34999990463257,3.92000007629395,0,11,58,205,600,1529
fitbit,3977333714,1460937600.0,11663,7.80000019073486,7.80000019073486,0,0.25,3.73000001907349,3.8199999332428,0,4,95,214,605,1584
fitbit,3977333714,1461024000.0,12414,8.77999973297119,8.77999973297119,0,2.24000000953674,2.45000004768372,3.96000003814697,0,19,67,221,738,1638
fitbit,3977333714,1461110400.0,11658,7.82999992370605,7.82999992370605,0,0.200000002980232,4.34999990463257,3.27999997138977,0,2,98,164,845,1554
fitbit,3977333714,1461196800.0,6093,4.07999992370605,4.07999992370605,0,0,0,4.05999994277954,0,0,0,242,712,1397
fitbit,3977333714,1461283200.0,8911,5.96000003814697,5.96000003814697,0,2.32999992370605,0.579999983310699,3.05999994277954,0,33,12,188,731,1481
fitbit,3977333714,1461369600.0,12058,8.06999969482422,8.06999969482422,0,0,4.21999979019165,3.84999990463257,0,0,92,252,724,1638
fitbit,3977333714,1461456000.0,14112,10,10,0,3.26999998092651,4.55999994277954,2.17000007629395,0,30,95,129,660,1655
fitbit,3977333714,1461542400.0,11177,8.47999954223633,8.47999954223633,0,5.61999988555908,0.430000007152557,2.41000008583069,0,50,9,133,781,1570
fitbit,3977333714,1461628800.0,11388,7.61999988555908,7.61999988555908,0,0.449999988079071,4.21999979019165,2.95000004768372,0,7,95,170,797,1551
fitbit,3977333714,1461715200.0,7193,5.03999996185303,5.03999996185303,0,0,0.419999986886978,4.61999988555908,0,0,10,176,714,1377
fitbit,3977333714,1461801600.0,7114,4.88000011444092,4.88000011444092,0,1.37000000476837,0.28999999165535,3.22000002861023,0,15,8,190,804,1407
fitbit,3977333714,1461888000.0,10645,7.75,7.75,0,3.74000000953674,1.29999995231628,2.71000003814697,0,36,32,150,744,1545
fitbit,3977333714,1461974400.0,13238,9.19999980926514,9.19999980926514,0,3.69000005722046,2.09999990463257,3.41000008583069,0,43,52,194,687,1650
fitbit,3977333714,1462060800.0,10414,7.07000017166138,7.07000017166138,0,2.67000007629395,1.98000001907349,2.41000008583069,0,41,40,124,691,1501
fitbit,3977333714,1462147200.0,16520,11.0500001907349,11.0500001907349,0,1.53999996185303,6.48000001907349,3.01999998092651,0,24,143,176,713,1760
fitbit,3977333714,1462233600.0,14335,9.59000015258789,9.59000015258789,0,3.3199999332428,1.74000000953674,4.53000020980835,0,47,41,258,594,1710
fitbit,3977333714,1462320000.0,13559,9.4399995803833,9.4399995803833,0,1.80999994277954,4.57999992370605,2.89000010490417,0,14,96,142,852,1628
fitbit,3977333714,1462406400.0,12312,8.57999992370605,8.57999992370605,0,1.75999999046326,4.1100001335144,2.71000003814697,0,14,88,178,680,1618
fitbit,3977333714,1462492800.0,11677,8.27999973297119,8.27999973297119,0,3.10999989509583,2.50999999046326,2.67000007629395,0,29,55,168,676,1590
fitbit,3977333714,1462579200.0,11550,7.73000001907349,7.73000001907349,0,0,4.13000011444092,3.58999991416931,0,0,86,208,703,1574
fitbit,3977333714,1462665600.0,13585,9.09000015258789,9.09000015258789,0,0.680000007152557,5.23999977111816,3.17000007629395,0,9,116,171,688,1633
fitbit,3977333714,1462752000.0,14687,10.0799999237061,10.0799999237061,0,0.769999980926514,5.59999990463257,3.54999995231628,0,8,122,151,1159,1667
fitbit,3977333714,1462838400.0,13072,8.77999973297119,8.77999973297119,0,0.0700000002980232,5.40000009536743,3.30999994277954,0,1,115,196,676,1630
fitbit,3977333714,1462924800.0,746,0.5,0.5,0,0.370000004768372,0,0.129999995231628,0,4,0,9,13,52
fitbit,4020332650,1460419200.0,8539,6.11999988555908,6.11999988555908,0,0.150000005960464,0.239999994635582,5.67999982833862,0,4,15,331,712,3654
fitbit,4020332650,1460505600.0,0,0,0,0,0,0,0,0,0,0,0,1440,1981
fitbit,4020332650,1460592000.0,108,0.0799999982118607,0.0799999982118607,0,0,0,0.0299999993294477,0,0,0,3,1437,2011
