source,participant-id,timestamp,sedentary-minutes,lightly-active-minutes,fairly-active-minutes,very-active-minutes,sedentary-active-distance,light-active-distance,moderately-active-distance,very-active-distance
fitbit,4702921684,1461283200.0,1341,72,0,0,0,1.35000002384186,0,0
fitbit,4702921684,1461369600.0,469,408,66,9,0,8.27000045776367,3.24000000953674,0.759999990463257
fitbit,4702921684,1461456000.0,542,281,95,15,0,5.88000011444092,5.11999988555908,1.20000004768372
fitbit,4702921684,1461542400.0,730,270,15,6,0,6.1100001335144,0.819999992847443,0.490000009536743
fitbit,4702921684,1461628800.0,765,216,8,1,0,4.53999996185303,0.349999994039536,0.0700000002980232
fitbit,4702921684,1461715200.0,733,238,16,1,0,4.78000020980835,0.800000011920929,0.0900000035762787
fitbit,4702921684,1461801600.0,738,232,9,14,0,5.76999998092651,0.419999986886978,1.12999999523163
fitbit,4702921684,1461888000.0,692,267,19,12,0,6.07000017166138,0.920000016689301,1.05999994277954
fitbit,4702921684,1461974400.0,728,263,36,4,0,5.88000011444092,2.02999997138977,0.319999992847443
fitbit,4702921684,1462060800.0,1440,0,0,0,0,0,0,0
fitbit,4702921684,1462147200.0,1131,195,40,5,0,3.75999999046326,1.74000000953674,0.379999995231628
fitbit,4702921684,1462233600.0,729,313,0,0,0,7.67000007629395,0,0
fitbit,4702921684,1462320000.0,757,251,15,4,0,5.53999996185303,0.730000019073486,0.340000003576279
fitbit,4702921684,1462406400.0,745,241,5,8,0,6.09000015258789,0.219999998807907,0.670000016689301
fitbit,4702921684,1462492800.0,682,207,16,1,0,4.86999988555908,0.660000026226044,0.0799999982118607
fitbit,4702921684,1462579200.0,577,439,46,5,0,8.97000026702881,2.30999994277954,0.370000004768372
fitbit,4702921684,1462665600.0,1019,192,125,9,0,3.53999996185303,6.21000003814697,0.680000007152557
fitbit,4702921684,1462752000.0,746,253,12,0,0,6.09999990463257,0.569999992847443,0
fitbit,4702921684,1462838400.0,701,262,37,1,0,6.65000009536743,1.87999999523163,0.0799999982118607
fitbit,4702921684,1462924800.0,784,235,41,10,0,4.98000001907349,2.16000008583069,0.779999971389771
fitbit,4702921684,1463011200.0,241,68,0,0,0,2.23000001907349,0,0
fitbit,5553957443,1460419200.0,767,277,13,19,0,5.40999984741211,0.790000021457672,1.37000000476837
fitbit,5553957443,1460505600.0,647,226,0,0,0,3.16000008583069,0,0
fitbit,5553957443,1460592000.0,693,256,41,61,0,4.67000007629395,2.45000004768372,4
fitbit,5553957443,1460678400.0,689,239,38,58,0,4.71000003814697,1.98000001907349,4.15999984741211
fitbit,5553957443,1460764800.0,521,288,0,0,0,3.76999998092651,0,0
