source,participant-id,timestamp,sedentary-minutes,lightly-active-minutes,fairly-active-minutes,very-active-minutes,sedentary-active-distance,light-active-distance,moderately-active-distance,very-active-distance
fitbit,1503960366,1460419200.0,728,328,13,25,0,6.05999994277954,0.550000011920929,1.87999999523163
fitbit,1503960366,1460505600.0,776,217,19,21,0,4.71000003814697,0.689999997615814,1.57000005245209
fitbit,1503960366,1460592000.0,1218,181,11,30,0,3.91000008583069,0.400000005960464,2.44000005722046
fitbit,1503960366,1460678400.0,726,209,34,29,0,2.82999992370605,1.25999999046326,2.14000010490417
fitbit,1503960366,1460764800.0,773,221,10,36,0,5.03999996185303,0.409999996423721,2.71000003814697
fitbit,1503960366,1460851200.0,539,164,20,38,0,2.50999999046326,0.779999971389771,3.19000005722046
fitbit,1503960366,1460937600.0,1149,233,16,42,0,4.71000003814697,0.639999985694885,3.25
fitbit,1503960366,1461024000.0,775,264,31,50,0,5.03000020980835,1.32000005245209,3.52999997138977
fitbit,1503960366,1461110400.0,818,205,12,28,0,4.23999977111816,0.479999989271164,1.96000003814697
fitbit,1503960366,1461196800.0,838,211,8,19,0,4.65000009536743,0.349999994039536,1.3400000333786
fitbit,1503960366,1461283200.0,1217,130,27,66,0,2.24000000953674,1.12000000476837,4.76000022888184
fitbit,1503960366,1461369600.0,732,262,21,41,0,5.3600001335144,0.870000004768372,2.80999994277954
fitbit,1503960366,1461456000.0,709,238,5,39,0,3.27999997138977,0.209999993443489,2.92000007629395
fitbit,1503960366,1461542400.0,814,216,14,73,0,3.94000005722046,0.569999992847443,5.28999996185303
fitbit,1503960366,1461628800.0,833,279,23,31,0,5.53999996185303,0.920000016689301,2.32999992370605
fitbit,1503960366,1461715200.0,1108,243,11,78,0,5.40999984741211,0.409999996423721,6.40000009536743
fitbit,1503960366,1461801600.0,782,189,28,48,0,3.78999996185303,1.1599999666214,3.53999996185303
fitbit,1503960366,1461888000.0,815,243,12,16,0,5.57999992370605,0.5,1.05999994277954
fitbit,1503960366,1461974400.0,712,217,34,52,0,4.26999998092651,1.41999995708466,3.55999994277954
fitbit,1503960366,1462060800.0,730,246,35,33,0,2.92000007629395,1.60000002384186,2.28999996185303
fitbit,1503960366,1462147200.0,798,277,15,41,0,5.92000007629395,0.569999992847443,3.21000003814697
fitbit,1503960366,1462233600.0,816,254,24,50,0,4.88000011444092,1.04999995231628,3.73000001907349
fitbit,1503960366,1462320000.0,1179,203,22,36,0,3.8199999332428,0.870000004768372,2.46000003814697
fitbit,1503960366,1462406400.0,857,250,24,45,0,4.88000011444092,1.08000004291534,2.92000007629395
fitbit,1503960366,1462492800.0,754,289,6,24,0,5.80999994277954,0.25,1.97000002861023
fitbit,1503960366,1462579200.0,833,175,46,37,0,3.13000011444092,2.11999988555908,2.46000003814697
fitbit,1503960366,1462665600.0,574,203,8,44,0,2.73000001907349,0.319999992847443,3.52999997138977
fitbit,1503960366,1462752000.0,835,206,11,46,0,3.74000000953674,0.529999971389771,3.45000004768372
fitbit,1503960366,1462838400.0,746,214,31,46,0,3.25999999046326,1.1599999666214,3.34999990463257
fitbit,1503960366,1462924800.0,669,251,23,36,0,4.55000019073486,1.00999999046326,2.55999994277954
fitbit,1503960366,1463011200.0,1440,0,0,0,0,0,0,0
fitbit,1624580081,1460419200.0,1294,146,0,0,0,5.30999994277954,0,0
fitbit,1624580081,1460505600.0,1292,148,0,0,0,4.55000019073486,0,0
fitbit,1624580081,1460592000.0,1204,236,0,0,0.00999999977648258,5.90999984741211,0,0
fitbit,1624580081,1460678400.0,1344,96,0,0,0,0.970000028610229,0,0
fitbit,1624580081,1460764800.0,1264,176,0,0,0,3.49000000953674,0,0
fitbit,1624580081,1460851200.0,1276,127,22,15,0.00999999977648258,1.49000000953674,1.51999998092651,1.02999997138977
fitbit,1624580081,1460937600.0,1214,202,7,17,0.00999999977648258,4.61999988555908,0.620000004768372,2.15000009536743
fitbit,1624580081,1461024000.0,1299,141,0,0,0,1.89999997615814,0,0
fitbit,1624580081,1461110400.0,1289,151,0,0,0,3.23000001907349,0,0
fitbit,1624580081,1461196800.0,1254,186,0,0,0.0199999995529652,4.1100001335144,0,0
fitbit,1624580081,1461283200.0,1241,199,0,0,0,2.59999990463257,0,0
fitbit,1624580081,1461369600.0,1213,227,0,0,0.00999999977648258,5.53999996185303,0,0
fitbit,1624580081,1461456000.0,1221,185,18,16,0,1.88999998569489,0.910000026226044,1.14999997615814
fitbit,1624580081,1461542400.0,1238,202,0,0,0.0199999995529652,4.19999980926514,0,0
fitbit,1624580081,1461628800.0,1300,140,0,0,0.00999999977648258,1.83000004291534,0,0
fitbit,1624580081,1461715200.0,1233,154,36,17,0,2.46000003814697,1.87000000476837,1.11000001430511
fitbit,1624580081,1461801600.0,1320,115,5,0,0,1.60000002384186,0.200000002980232,0
fitbit,1624580081,1461888000.0,1290,150,0,0,0,1.54999995231628,0,0
fitbit,1624580081,1461974400.0,1182,224,23,11,0.00999999977648258,2.11999988555908,1.27999997138977,0.899999976158142
fitbit,1624580081,1462060800.0,1020,171,63,186,0.0199999995529652,1.9099999666214,4.19000005722046,21.9200000762939
fitbit,1624580081,1462147200.0,1261,166,6,7,0,3.47000002861023,0.589999973773956,0.860000014305115
fitbit,1624580081,1462233600.0,1344,96,0,0,0.0199999995529652,1.3400000333786,0,0
fitbit,1624580081,1462320000.0,1322,118,0,0,0,1.41999995708466,0,0
fitbit,1624580081,1462406400.0,1323,117,0,0,0.0199999995529652,1.58000004291534,0,0
fitbit,1624580081,1462492800.0,1338,102,0,0,0.00999999977648258,1.12000000476837,0,0
fitbit,1624580081,1462579200.0,1258,182,0,0,0,1.37000000476837,0,0
fitbit,1624580081,1462665600.0,1288,152,0,0,0,2.22000002861023,0,0
fitbit,1624580081,1462752000.0,1349,91,0,0,0,1.12999999523163,0,0
fitbit,1624580081,1462838400.0,1301,139,0,0,0.00999999977648258,1.91999995708466,0,0
fitbit,1624580081,1462924800.0,1328,112,0,0,0,2.03999996185303,0,0
fitbit,1624580081,1463011200.0,890,107,0,0,0.00999999977648258,1.91999995708466,0,0
fitbit,1644430081,1460419200.0,1131,256,51,2,0,5.32999992370605,2.29999995231628,0.140000000596046
fitbit,1644430081,1460505600.0,1259,135,16,30,0,2.64000010490417,0.899999976158142,2.27999997138977
fitbit,1644430081,1460592000.0,1125,252,58,5,0,5.09999990463257,2.55999994277954,0.360000014305115
fitbit,1644430081,1460678400.0,1263,170,4,3,0,3.45000004768372,0.150000005960464,0.219999998807907
fitbit,1644430081,1460764800.0,1135,212,42,51,0,5.09000015258789,1.87999999523163,4.09999990463257
fitbit,1644430081,1460851200.0,1212,186,13,29,0,3.54999995231628,0.569999992847443,2.25
fitbit,1644430081,1460937600.0,1271,121,33,15,0,2.45000004768372,1.66999995708466,1.07000005245209
fitbit,1644430081,1461024000.0,1099,278,58,5,0,5.30000019073486,2.52999997138977,0.360000014305115
fitbit,1644430081,1461110400.0,1315,125,0,0,0.00999999977648258,1.75999999046326,0,0
fitbit,1644430081,1461196800.0,1402,38,0,0,0.00999999977648258,0.879999995231628,0,0
fitbit,1644430081,1461283200.0,1354,86,0,0,0.00999999977648258,2.66000008583069,0,0
fitbit,1644430081,1461369600.0,1265,160,15,0,0,4.25,0.579999983310699,0
fitbit,1644430081,1461456000.0,1351,89,0,0,0,2.41000008583069,0,0
fitbit,1644430081,1461542400.0,1337,94,1,8,0,1.95000004768372,0.0599999986588955,0.589999973773956
fitbit,1644430081,1461628800.0,1165,223,41,11,0,4.69000005722046,1.72000002861023,0.800000011920929
fitbit,1644430081,1461715200.0,1322,118,0,0,0,2.20000004768372,0,0
fitbit,1644430081,1461801600.0,1157,227,53,3,0,4.30999994277954,2.3199999332428,0.200000002980232
fitbit,1644430081,1461888000.0,1193,120,0,0,0,2.30999994277954,0,0
fitbit,1644430081,1461974400.0,816,402,71,9,0,9.46000003814697,3.14000010490417,0.629999995231628
fitbit,1644430081,1462060800.0,908,146,24,3,0,3.23000001907349,0.990000009536743,0.239999994635582
fitbit,1644430081,1462147200.0,682,148,7,1,0,2.34999990463257,0.310000002384186,0.0700000002980232
fitbit,1644430081,1462233600.0,1115,221,94,10,0,4.53999996185303,4.09000015258789,0.720000028610229
fitbit,1644430081,1462320000.0,1388,52,0,0,0.0199999995529652,1.6599999666214,0,0
fitbit,1644430081,1462406400.0,1341,81,12,6,0.00999999977648258,2.13000011444092,0.540000021457672,0.519999980926514
fitbit,1644430081,1462492800.0,1054,369,6,11,0.0199999995529652,6.01000022888184,0.270000010728836,0.819999992847443
fitbit,1644430081,1462579200.0,1139,243,17,41,0.00999999977648258,5.67000007629395,0.790000021457672,3.25999999046326
fitbit,1644430081,1462665600.0,991,295,0,0,0,4.88000011444092,0,0
fitbit,1644430081,1462752000.0,1099,303,6,32,0.00999999977648258,2.08999991416931,0.349999994039536,2.39000010490417
fitbit,1644430081,1462838400.0,1254,155,19,12,0.00999999977648258,4.96999979019165,0.810000002384186,0.879999995231628
fitbit,1644430081,1462924800.0,713,49,0,0,0.00999999977648258,0.949999988079071,0,0
fitbit,1844505072,1460419200.0,1101,339,0,0,0,4.42999982833862,0,0
fitbit,1844505072,1460505600.0,1192,248,0,0,0,3.25999999046326,0,0
fitbit,1844505072,1460592000.0,843,373,0,0,0,5.23000001907349,0,0
fitbit,1844505072,1460678400.0,527,176,0,0,0,2.53999996185303,0,0
fitbit,1844505072,1460764800.0,1293,147,0,0,0,2.25999999046326,0,0
fitbit,1844505072,1460851200.0,1231,199,8,2,0,2.58999991416931,0.259999990463257,0.140000000596046
fitbit,1844505072,1460937600.0,1211,217,12,0,0,2.55999994277954,0.479999989271164,0
fitbit,1844505072,1461024000.0,1430,10,0,0,0,0.129999995231628,0,0
fitbit,1844505072,1461110400.0,1439,1,0,0,0,0.00999999977648258,0,0
fitbit,1844505072,1461196800.0,1117,308,13,2,0,4.67999982833862,0.519999980926514,0.119999997317791
fitbit,1844505072,1461283200.0,1220,220,0,0,0,3.54999995231628,0,0
fitbit,1844505072,1461369600.0,1301,139,0,0,0,2.35999989509583,0,0
fitbit,1844505072,1461456000.0,1440,0,0,0,0,0,0,0
fitbit,1844505072,1461542400.0,1440,0,0,0,0,0,0,0
fitbit,1844505072,1461628800.0,1440,0,0,0,0,0,0,0
fitbit,1844505072,1461715200.0,1439,1,0,0,0,0,0,0
fitbit,1844505072,1461801600.0,1138,302,0,0,0,4.55999994277954,0,0
fitbit,1844505072,1461888000.0,1082,247,0,0,0,3.25,0,0
fitbit,1844505072,1461974400.0,218,184,0,0,0,2.65000009536743,0,0
fitbit,1844505072,1462060800.0,585,75,7,0,0,1.45000004768372,0.259999990463257,0
fitbit,1844505072,1462147200.0,1440,0,0,0,0,0,0,0
fitbit,1844505072,1462233600.0,1256,184,0,0,0,2.6800000667572,0,0
