timestamp,participant-id,session-id,source,temperature
1468010304.0,6,4,empatica,382.18
1468010554.0,6,4,empatica,382.18
1468010804.0,6,4,empatica,382.18
1468011054.0,6,4,empatica,382.18
1468011304.0,6,4,empatica,32.34
1468011554.0,6,4,empatica,32.34
1468011804.0,6,4,empatica,32.34
1468012054.0,6,4,empatica,32.34
1468012304.0,6,4,empatica,32.34
1468012554.0,6,4,empatica,32.34
1468012804.0,6,4,empatica,32.34
1468013054.0,6,4,empatica,32.34
1468013304.0,6,4,empatica,32.34
1468013554.0,6,4,empatica,32.34
1468013804.0,6,4,empatica,32.34
1468014054.0,6,4,empatica,32.34
1468014304.0,6,4,empatica,32.33
1468014554.0,6,4,empatica,32.33
1468014804.0,6,4,empatica,32.33
1468015054.0,6,4,empatica,32.33
1468015304.0,6,4,empatica,32.31
1468015554.0,6,4,empatica,32.31
1468015804.0,6,4,empatica,32.31
1468016054.0,6,4,empatica,32.31
1468016304.0,6,4,empatica,32.31
1468016554.0,6,4,empatica,32.31
1468016804.0,6,4,empatica,32.31
1468017054.0,6,4,empatica,32.31
1468017304.0,6,4,empatica,32.31
1468017554.0,6,4,empatica,32.31
1468017804.0,6,4,empatica,32.31
1468018054.0,6,4,empatica,32.31
1468018304.0,6,4,empatica,32.31
1468018554.0,6,4,empatica,32.31
1468018804.0,6,4,empatica,32.31
1468019054.0,6,4,empatica,32.31
1468019304.0,6,4,empatica,32.33
1468019554.0,6,4,empatica,32.33
1468019804.0,6,4,empatica,32.33
1468020054.0,6,4,empatica,32.33
1468020304.0,6,4,empatica,32.29
1468020554.0,6,4,empatica,32.29
1468020804.0,6,4,empatica,32.29
1468021054.0,6,4,empatica,32.29
1468021304.0,6,4,empatica,32.33
1468021554.0,6,4,empatica,32.33
1468021804.0,6,4,empatica,32.33
1468022054.0,6,4,empatica,32.33
1468022304.0,6,4,empatica,32.33
1468022554.0,6,4,empatica,32.33
1468022804.0,6,4,empatica,32.33
1468023054.0,6,4,empatica,32.33
1468023304.0,6,4,empatica,32.31
1468023554.0,6,4,empatica,32.31
1468023804.0,6,4,empatica,32.31
1468024054.0,6,4,empatica,32.31
1468024304.0,6,4,empatica,32.31
1468024554.0,6,4,empatica,32.31
1468024804.0,6,4,empatica,32.31
1468025054.0,6,4,empatica,32.31
1468025304.0,6,4,empatica,32.31
1468025554.0,6,4,empatica,32.31
1468025804.0,6,4,empatica,32.31
1468026054.0,6,4,empatica,32.31
1468026304.0,6,4,empatica,32.31
