timestamp,participant-id,session-id,source,skin-conductance
1469137038.0,10,11,empatica,0.0
1469137288.0,10,11,empatica,0.594359
1469137538.0,10,11,empatica,0.819805
1469137788.0,10,11,empatica,1.107004
1469138038.0,10,11,empatica,0.757375
1469138288.0,10,11,empatica,0.797084
1469138538.0,10,11,empatica,0.813736
1469138788.0,10,11,empatica,0.825265
1469139038.0,10,11,empatica,0.83295
1469139288.0,10,11,empatica,0.838074
1469139538.0,10,11,empatica,0.844479
1469139788.0,10,11,empatica,0.850884
1469140038.0,10,11,empatica,0.852165
1469140288.0,10,11,empatica,0.853445
1469140538.0,10,11,empatica,0.858569
1469140788.0,10,11,empatica,0.863693
1469141038.0,10,11,empatica,0.858569
1469141288.0,10,11,empatica,0.862412
1469141538.0,10,11,empatica,0.864974
1469141788.0,10,11,empatica,0.864974
1469142038.0,10,11,empatica,0.866255
1469142288.0,10,11,empatica,0.861131
1469142538.0,10,11,empatica,0.864974
1469142788.0,10,11,empatica,0.861131
1469143038.0,10,11,empatica,0.823984
1469143288.0,10,11,empatica,0.802208
1469143538.0,10,11,empatica,0.788117
1469143788.0,10,11,empatica,0.776589
1469144038.0,10,11,empatica,0.76506
1469144288.0,10,11,empatica,0.762498
1469144538.0,10,11,empatica,0.768903
1469144788.0,10,11,empatica,0.725351
1469145038.0,10,11,empatica,0.48069
1469145288.0,10,11,empatica,0.311606
1469145538.0,10,11,empatica,0.107866
1469145788.0,10,11,empatica,0.280794
1469146038.0,10,11,empatica,0.364055
1469146288.0,10,11,empatica,0.324346
1469146538.0,10,11,empatica,0.257737
1469146788.0,10,11,empatica,0.317941
1469147038.0,10,11,empatica,0.360212
1469147288.0,10,11,empatica,0.47934
1469147538.0,10,11,empatica,0.570287
1469147788.0,10,11,empatica,0.602311
1469148038.0,10,11,empatica,0.633054
1469148288.0,10,11,empatica,0.672763
1469148538.0,10,11,empatica,0.702225
1469148788.0,10,11,empatica,0.724001
1469149038.0,10,11,empatica,0.73681
1469149288.0,10,11,empatica,0.745777
1469149538.0,10,11,empatica,0.777801
1469149788.0,10,11,empatica,0.859781
1469150038.0,10,11,empatica,0.962257
1469150288.0,10,11,empatica,1.11597
1469150538.0,10,11,empatica,0.844479
1469150788.0,10,11,empatica,0.323134
1469151038.0,10,11,empatica,0.092495
1469151288.0,10,11,empatica,0.257737
1469151538.0,10,11,empatica,0.226994
1469151788.0,10,11,empatica,0.365336
1469152038.0,10,11,empatica,0.638178
1469152288.0,10,11,empatica,0.713753
1469152538.0,10,11,empatica,0.717596
1469152788.0,10,11,empatica,0.713753
1469153038.0,10,11,empatica,0.721439
1469153288.0,10,11,empatica,0.72272
1469153538.0,10,11,empatica,0.779082
1469153788.0,10,11,empatica,0.812386
1469154038.0,10,11,empatica,0.862343
1469154288.0,10,11,empatica,0.9392
1469154538.0,10,11,empatica,0.945604
1469154788.0,10,11,empatica,0.941762
1469155038.0,10,11,empatica,0.940481
1469155288.0,10,11,empatica,0.944324
1469155538.0,10,11,empatica,0.946885
1469155788.0,10,11,empatica,0.952009
1469156038.0,10,11,empatica,0.95329
1469156288.0,10,11,empatica,0.955852
1469156538.0,10,11,empatica,0.945604
1469156788.0,10,11,empatica,0.949447
1469157038.0,10,11,empatica,0.913581
1469157288.0,10,11,empatica,0.931514
1469157538.0,10,11,empatica,0.949447
1469157788.0,10,11,empatica,0.950728
1469158038.0,10,11,empatica,0.950728
1469158288.0,10,11,empatica,0.957133
1469158538.0,10,11,empatica,0.958414
1469158788.0,10,11,empatica,0.952009
1469159038.0,10,11,empatica,0.950728
1469159288.0,10,11,empatica,0.9392
1469159538.0,10,11,empatica,0.944324
1469159788.0,10,11,empatica,0.948166
1469160038.0,10,11,empatica,0.945604
1469160288.0,10,11,empatica,0.946885
1469160538.0,10,11,empatica,0.948166
1469160788.0,10,11,empatica,0.948166
1469161038.0,10,11,empatica,0.949447
1469161288.0,10,11,empatica,0.949447
1469161538.0,10,11,empatica,0.946885
1469161788.0,10,11,empatica,0.948166
1469162038.0,10,11,empatica,0.946885
1469162288.0,10,11,empatica,0.948166
1469162538.0,10,11,empatica,0.950728
1469162788.0,10,11,empatica,0.960976
1469163038.0,10,11,empatica,0.954571
1469163288.0,10,11,empatica,0.960976
1469163538.0,10,11,empatica,0.958414
1469163788.0,10,11,empatica,0.95329
1469164038.0,10,11,empatica,0.95329
1469164288.0,10,11,empatica,0.954571
1469164538.0,10,11,empatica,0.957133
1469164788.0,10,11,empatica,0.952009
1469165038.0,10,11,empatica,0.950728
1469165288.0,10,11,empatica,0.949447
1469165538.0,10,11,empatica,0.948166
1469165788.0,10,11,empatica,0.948166
1469166038.0,10,11,empatica,0.949447
1469166288.0,10,11,empatica,0.946885
1469166538.0,10,11,empatica,0.949447
1469166788.0,10,11,empatica,0.948166
1469167038.0,10,11,empatica,0.945604
1469167288.0,10,11,empatica,0.946885
1469167538.0,10,11,empatica,0.945604
1469167788.0,10,11,empatica,0.946885
1469168038.0,10,11,empatica,0.944324
1469168288.0,10,11,empatica,0.944324
1469168538.0,10,11,empatica,0.945604
1469168788.0,10,11,empatica,0.944324
1469169038.0,10,11,empatica,0.943043
1469169288.0,10,11,empatica,0.941762
1469169538.0,10,11,empatica,0.935357
1469169788.0,10,11,empatica,0.932795
1469170038.0,10,11,empatica,0.934076
1469170288.0,10,11,empatica,0.935357
1469170538.0,10,11,empatica,0.934076
1469170788.0,10,11,empatica,0.896929
1469171038.0,10,11,empatica,0.921266
1469171288.0,10,11,empatica,0.907176
1469171538.0,10,11,empatica,0.911019
1469171788.0,10,11,empatica,0.922547
1469172038.0,10,11,empatica,0.927671
1469172288.0,10,11,empatica,0.927671
1469172538.0,10,11,empatica,0.92639
1469172788.0,10,11,empatica,0.930233
1469173038.0,10,11,empatica,0.92639
1469173288.0,10,11,empatica,0.92639
1469173538.0,10,11,empatica,0.925109
1469173788.0,10,11,empatica,0.928952
1469174038.0,10,11,empatica,0.930233
1469174288.0,10,11,empatica,0.936638
1469174538.0,10,11,empatica,0.937919
1469174788.0,10,11,empatica,0.9392
1469175038.0,10,11,empatica,0.936638
1469175288.0,10,11,empatica,0.932795
1469175538.0,10,11,empatica,0.932795
1469175788.0,10,11,empatica,0.930233
1469176038.0,10,11,empatica,0.925109
1469176288.0,10,11,empatica,0.922547
1469176538.0,10,11,empatica,0.918705
1469176788.0,10,11,empatica,0.919986
1469177038.0,10,11,empatica,0.921266
1469177288.0,10,11,empatica,0.922547
1469177538.0,10,11,empatica,0.921266
1469177788.0,10,11,empatica,0.921266
1469178038.0,10,11,empatica,0.921266
1469178288.0,10,11,empatica,0.918705
1469178538.0,10,11,empatica,0.916143
1469178788.0,10,11,empatica,0.917424
1469179038.0,10,11,empatica,0.913581
1469179288.0,10,11,empatica,0.9123
1469179538.0,10,11,empatica,0.909738
1469179788.0,10,11,empatica,0.909738
1469180038.0,10,11,empatica,0.908457
1469180288.0,10,11,empatica,0.900771
1469180538.0,10,11,empatica,0.905895
1469180788.0,10,11,empatica,0.905895
1469181038.0,10,11,empatica,0.907176
1469181288.0,10,11,empatica,0.908457
1469181538.0,10,11,empatica,0.905895
1469181788.0,10,11,empatica,0.907176
1469182038.0,10,11,empatica,0.907176
1469182288.0,10,11,empatica,0.903333
1469182538.0,10,11,empatica,0.905895
1469182788.0,10,11,empatica,0.905895
1469183038.0,10,11,empatica,0.903333
1469183288.0,10,11,empatica,0.904614
1469183538.0,10,11,empatica,0.902052
1469183788.0,10,11,empatica,0.902052
1469184038.0,10,11,empatica,0.900771
1469184288.0,10,11,empatica,0.902052
1469184538.0,10,11,empatica,0.89949
1469184788.0,10,11,empatica,0.89949
1469185038.0,10,11,empatica,0.89949
1469185288.0,10,11,empatica,0.896929
1469185538.0,10,11,empatica,0.89821
1469185788.0,10,11,empatica,0.895648
1469186038.0,10,11,empatica,0.894367
1469186288.0,10,11,empatica,0.894367
1469186538.0,10,11,empatica,0.893086
1469186788.0,10,11,empatica,0.891805
1469187038.0,10,11,empatica,0.890524
1469187288.0,10,11,empatica,0.887962
1469187538.0,10,11,empatica,0.886681
1469187788.0,10,11,empatica,0.887962
1469188038.0,10,11,empatica,0.887962
1469188288.0,10,11,empatica,0.8854
1469188538.0,10,11,empatica,0.8854
1469188788.0,10,11,empatica,0.884119
1469189038.0,10,11,empatica,0.8854
1469189288.0,10,11,empatica,0.881557
1469189538.0,10,11,empatica,0.882838
1469189788.0,10,11,empatica,0.881557
1469190038.0,10,11,empatica,0.881557
1469190288.0,10,11,empatica,0.882838
1469190538.0,10,11,empatica,0.882838
1469190788.0,10,11,empatica,0.884119
1469191038.0,10,11,empatica,0.882838
1469191288.0,10,11,empatica,0.881557
1469191538.0,10,11,empatica,0.882838
1469191788.0,10,11,empatica,0.877714
1469192038.0,10,11,empatica,0.876433
1469192288.0,10,11,empatica,0.877714
1469192538.0,10,11,empatica,0.876433
1469192788.0,10,11,empatica,0.876433
1469193038.0,10,11,empatica,0.876433
1469193288.0,10,11,empatica,0.875152
1469193538.0,10,11,empatica,0.875152
