participant-id,timestamp,step-total
1503960366,1460419200.0,373
1503960366,1460422800.0,160
1503960366,1460426400.0,151
1503960366,1460430000.0,0
1503960366,1460433600.0,0
1503960366,1460437200.0,0
1503960366,1460440800.0,0
1503960366,1460444400.0,0
1503960366,1460448000.0,250
1503960366,1460451600.0,1864
1503960366,1460455200.0,676
1503960366,1460458800.0,360
1503960366,1460462400.0,253
1503960366,1460466000.0,221
1503960366,1460469600.0,1166
1503960366,1460473200.0,2063
1503960366,1460476800.0,344
1503960366,1460480400.0,489
1503960366,1460484000.0,1386
1503960366,1460487600.0,558
1503960366,1460491200.0,1733
1503960366,1460494800.0,684
1503960366,1460498400.0,89
1503960366,1460502000.0,338
1503960366,1460505600.0,144
1503960366,1460509200.0,0
1503960366,1460512800.0,0
1503960366,1460516400.0,36
1503960366,1460520000.0,0
1503960366,1460523600.0,0
1503960366,1460527200.0,0
1503960366,1460530800.0,126
1503960366,1460534400.0,275
1503960366,1460538000.0,1679
1503960366,1460541600.0,295
1503960366,1460545200.0,524
1503960366,1460548800.0,486
1503960366,1460552400.0,302
1503960366,1460556000.0,1577
1503960366,1460559600.0,493
1503960366,1460563200.0,299
1503960366,1460566800.0,695
1503960366,1460570400.0,1343
1503960366,1460574000.0,258
1503960366,1460577600.0,0
1503960366,1460581200.0,0
1503960366,1460584800.0,437
1503960366,1460588400.0,1766
1503960366,1460592000.0,81
1503960366,1460595600.0,58
1503960366,1460599200.0,0
1503960366,1460602800.0,0
1503960366,1460606400.0,0
1503960366,1460610000.0,0
1503960366,1460613600.0,0
1503960366,1460617200.0,0
1503960366,1460620800.0,0
1503960366,1460624400.0,902
1503960366,1460628000.0,1106
1503960366,1460631600.0,50
1503960366,1460635200.0,501
1503960366,1460638800.0,1779
1503960366,1460642400.0,1228
1503960366,1460646000.0,139
1503960366,1460649600.0,408
1503960366,1460653200.0,37
1503960366,1460656800.0,322
1503960366,1460660400.0,11
1503960366,1460664000.0,806
1503960366,1460667600.0,2670
1503960366,1460671200.0,362
1503960366,1460674800.0,0
1503960366,1460678400.0,83
1503960366,1460682000.0,75
1503960366,1460685600.0,124
1503960366,1460689200.0,0
1503960366,1460692800.0,0
1503960366,1460696400.0,26
1503960366,1460700000.0,0
1503960366,1460703600.0,7
1503960366,1460707200.0,55
1503960366,1460710800.0,21
1503960366,1460714400.0,154
1503960366,1460718000.0,425
1503960366,1460721600.0,270
1503960366,1460725200.0,373
