source,participant-id,timestamp,calories
fitbit,1503960366,1460419200.0,81
fitbit,1503960366,1460422800.0,61
fitbit,1503960366,1460426400.0,59
fitbit,1503960366,1460430000.0,47
fitbit,1503960366,1460433600.0,48
fitbit,1503960366,1460437200.0,48
fitbit,1503960366,1460440800.0,48
fitbit,1503960366,1460444400.0,47
fitbit,1503960366,1460448000.0,68
fitbit,1503960366,1460451600.0,141
fitbit,1503960366,1460455200.0,99
fitbit,1503960366,1460458800.0,76
fitbit,1503960366,1460462400.0,73
fitbit,1503960366,1460466000.0,66
fitbit,1503960366,1460469600.0,110
fitbit,1503960366,1460473200.0,151
fitbit,1503960366,1460476800.0,76
fitbit,1503960366,1460480400.0,83
fitbit,1503960366,1460484000.0,124
fitbit,1503960366,1460487600.0,104
fitbit,1503960366,1460491200.0,132
fitbit,1503960366,1460494800.0,100
fitbit,1503960366,1460498400.0,65
fitbit,1503960366,1460502000.0,81
fitbit,1503960366,1460505600.0,69
fitbit,1503960366,1460509200.0,48
fitbit,1503960366,1460512800.0,47
fitbit,1503960366,1460516400.0,53
fitbit,1503960366,1460520000.0,47
fitbit,1503960366,1460523600.0,47
fitbit,1503960366,1460527200.0,48
fitbit,1503960366,1460530800.0,59
fitbit,1503960366,1460534400.0,69
fitbit,1503960366,1460538000.0,136
fitbit,1503960366,1460541600.0,77
fitbit,1503960366,1460545200.0,84
fitbit,1503960366,1460548800.0,82
fitbit,1503960366,1460552400.0,72
fitbit,1503960366,1460556000.0,128
fitbit,1503960366,1460559600.0,79
fitbit,1503960366,1460563200.0,71
fitbit,1503960366,1460566800.0,87
fitbit,1503960366,1460570400.0,118
fitbit,1503960366,1460574000.0,73
fitbit,1503960366,1460577600.0,47
fitbit,1503960366,1460581200.0,48
fitbit,1503960366,1460584800.0,74
fitbit,1503960366,1460588400.0,135
fitbit,1503960366,1460592000.0,56
fitbit,1503960366,1460595600.0,54
fitbit,1503960366,1460599200.0,47
fitbit,1503960366,1460602800.0,47
fitbit,1503960366,1460606400.0,47
fitbit,1503960366,1460610000.0,47
fitbit,1503960366,1460613600.0,47
fitbit,1503960366,1460617200.0,47
fitbit,1503960366,1460620800.0,47
fitbit,1503960366,1460624400.0,93
fitbit,1503960366,1460628000.0,109
fitbit,1503960366,1460631600.0,64
fitbit,1503960366,1460635200.0,85
fitbit,1503960366,1460638800.0,137
fitbit,1503960366,1460642400.0,113
fitbit,1503960366,1460646000.0,66
fitbit,1503960366,1460649600.0,88
fitbit,1503960366,1460653200.0,61
fitbit,1503960366,1460656800.0,72
fitbit,1503960366,1460660400.0,55
fitbit,1503960366,1460664000.0,91
fitbit,1503960366,1460667600.0,174
