source,participant-id,timestamp,step-total
fitbit,1503960366,1457740800.0,0
fitbit,1503960366,1457744400.0,0
fitbit,1503960366,1457748000.0,0
fitbit,1503960366,1457751600.0,0
fitbit,1503960366,1457755200.0,0
fitbit,1503960366,1457758800.0,0
fitbit,1503960366,1457762400.0,0
fitbit,1503960366,1457766000.0,0
fitbit,1503960366,1457769600.0,0
fitbit,1503960366,1457773200.0,8
fitbit,1503960366,1457776800.0,551
fitbit,1503960366,1457780400.0,1764
fitbit,1503960366,1457784000.0,1259
fitbit,1503960366,1457787600.0,253
fitbit,1503960366,1457791200.0,4470
fitbit,1503960366,1457794800.0,4919
fitbit,1503960366,1457798400.0,1905
fitbit,1503960366,1457802000.0,1038
fitbit,1503960366,1457805600.0,14
fitbit,1503960366,1457809200.0,606
fitbit,1503960366,1457812800.0,56
fitbit,1503960366,1457816400.0,782
fitbit,1503960366,1457820000.0,1132
fitbit,1503960366,1457823600.0,918
fitbit,1503960366,1457827200.0,39
fitbit,1503960366,1457830800.0,0
fitbit,1503960366,1457834400.0,27
fitbit,1503960366,1457838000.0,0
fitbit,1503960366,1457841600.0,0
fitbit,1503960366,1457845200.0,0
fitbit,1503960366,1457848800.0,0
fitbit,1503960366,1457852400.0,0
fitbit,1503960366,1457856000.0,6
fitbit,1503960366,1457859600.0,73
fitbit,1503960366,1457863200.0,2850
fitbit,1503960366,1457866800.0,4854
fitbit,1503960366,1457870400.0,24
fitbit,1503960366,1457874000.0,118
fitbit,1503960366,1457877600.0,19
fitbit,1503960366,1457881200.0,510
fitbit,1503960366,1457884800.0,510
fitbit,1503960366,1457888400.0,96
fitbit,1503960366,1457892000.0,4100
fitbit,1503960366,1457895600.0,1756
fitbit,1503960366,1457899200.0,477
fitbit,1503960366,1457902800.0,147
fitbit,1503960366,1457906400.0,214
fitbit,1503960366,1457910000.0,1286
fitbit,1503960366,1457913600.0,54
fitbit,1503960366,1457917200.0,53
fitbit,1503960366,1457920800.0,0
fitbit,1503960366,1457924400.0,0
fitbit,1503960366,1457928000.0,0
fitbit,1503960366,1457931600.0,0
fitbit,1503960366,1457935200.0,0
fitbit,1503960366,1457938800.0,53
fitbit,1503960366,1457942400.0,212
fitbit,1503960366,1457946000.0,2832
fitbit,1503960366,1457949600.0,43
fitbit,1503960366,1457953200.0,220
fitbit,1503960366,1457956800.0,181
fitbit,1503960366,1457960400.0,12
fitbit,1503960366,1457964000.0,44
fitbit,1503960366,1457967600.0,205
fitbit,1503960366,1457971200.0,152
fitbit,1503960366,1457974800.0,226
fitbit,1503960366,1457978400.0,516
fitbit,1503960366,1457982000.0,559
fitbit,1503960366,1457985600.0,1104
fitbit,1503960366,1457989200.0,252
fitbit,1503960366,1457992800.0,0
fitbit,1503960366,1457996400.0,3305
fitbit,1503960366,1458000000.0,33
fitbit,1503960366,1458003600.0,20
fitbit,1503960366,1458007200.0,60
fitbit,1503960366,1458010800.0,0
fitbit,1503960366,1458014400.0,7
fitbit,1503960366,1458018000.0,0
fitbit,1503960366,1458021600.0,4
fitbit,1503960366,1458025200.0,11
fitbit,1503960366,1458028800.0,470
fitbit,1503960366,1458032400.0,1967
fitbit,1503960366,1458036000.0,729
fitbit,1503960366,1458039600.0,659
fitbit,1503960366,1458043200.0,1787
fitbit,1503960366,1458046800.0,333
fitbit,1503960366,1458050400.0,980
fitbit,1503960366,1458054000.0,371
fitbit,1503960366,1458057600.0,605
fitbit,1503960366,1458061200.0,623
fitbit,1503960366,1458064800.0,467
fitbit,1503960366,1458068400.0,282
fitbit,1503960366,1458072000.0,3319
fitbit,1503960366,1458075600.0,1558
fitbit,1503960366,1458079200.0,786
fitbit,1503960366,1458082800.0,313
fitbit,1503960366,1458086400.0,0
fitbit,1503960366,1458090000.0,0
fitbit,1503960366,1458093600.0,4
fitbit,1503960366,1458097200.0,0
fitbit,1503960366,1458100800.0,0
fitbit,1503960366,1458104400.0,0
fitbit,1503960366,1458108000.0,0
fitbit,1503960366,1458111600.0,70
fitbit,1503960366,1458115200.0,490
fitbit,1503960366,1458118800.0,1513
fitbit,1503960366,1458122400.0,224
fitbit,1503960366,1458126000.0,874
fitbit,1503960366,1458129600.0,1451
fitbit,1503960366,1458133200.0,329
fitbit,1503960366,1458136800.0,61
fitbit,1503960366,1458140400.0,456
fitbit,1503960366,1458144000.0,775
fitbit,1503960366,1458147600.0,1446
fitbit,1503960366,1458151200.0,2407
fitbit,1503960366,1458154800.0,103
fitbit,1503960366,1458158400.0,447
fitbit,1503960366,1458162000.0,2120
fitbit,1503960366,1458165600.0,273
fitbit,1503960366,1458169200.0,455
fitbit,1503960366,1458172800.0,263
fitbit,1503960366,1458176400.0,23
fitbit,1503960366,1458180000.0,7
fitbit,1503960366,1458183600.0,0
fitbit,1503960366,1458187200.0,0
fitbit,1503960366,1458190800.0,0
fitbit,1503960366,1458194400.0,0
fitbit,1503960366,1458198000.0,6
fitbit,1503960366,1458201600.0,210
fitbit,1503960366,1458205200.0,1530
fitbit,1503960366,1458208800.0,124
fitbit,1503960366,1458212400.0,1803
fitbit,1503960366,1458216000.0,113
fitbit,1503960366,1458219600.0,1124
fitbit,1503960366,1458223200.0,1160
fitbit,1503960366,1458226800.0,409
fitbit,1503960366,1458230400.0,631
fitbit,1503960366,1458234000.0,203
fitbit,1503960366,1458237600.0,396
fitbit,1503960366,1458241200.0,2165
fitbit,1503960366,1458244800.0,147
fitbit,1503960366,1458248400.0,2016
fitbit,1503960366,1458252000.0,521
fitbit,1503960366,1458255600.0,1176
fitbit,1503960366,1458259200.0,389
fitbit,1503960366,1458262800.0,112
fitbit,1503960366,1458266400.0,0
fitbit,1503960366,1458270000.0,0
fitbit,1503960366,1458273600.0,0
fitbit,1503960366,1458277200.0,4
fitbit,1503960366,1458280800.0,19
fitbit,1503960366,1458284400.0,0
fitbit,1503960366,1458288000.0,172
fitbit,1503960366,1458291600.0,1952
fitbit,1503960366,1458295200.0,279
fitbit,1503960366,1458298800.0,207
fitbit,1503960366,1458302400.0,145
fitbit,1503960366,1458306000.0,242
fitbit,1503960366,1458309600.0,3160
fitbit,1503960366,1458313200.0,852
fitbit,1503960366,1458316800.0,270
fitbit,1503960366,1458320400.0,24
fitbit,1503960366,1458324000.0,444
fitbit,1503960366,1458327600.0,4093
fitbit,1503960366,1458331200.0,1445
fitbit,1503960366,1458334800.0,332
fitbit,1503960366,1458338400.0,13
fitbit,1503960366,1458342000.0,390
fitbit,1503960366,1458345600.0,138
fitbit,1503960366,1458349200.0,0
fitbit,1503960366,1458352800.0,0
fitbit,1503960366,1458356400.0,10
fitbit,1503960366,1458360000.0,0
fitbit,1503960366,1458363600.0,0
fitbit,1503960366,1458367200.0,0
fitbit,1503960366,1458370800.0,53
fitbit,1503960366,1458374400.0,538
fitbit,1503960366,1458378000.0,3454
fitbit,1503960366,1458381600.0,2106
fitbit,1503960366,1458385200.0,1307
fitbit,1503960366,1458388800.0,909
fitbit,1503960366,1458392400.0,303
fitbit,1503960366,1458396000.0,150
fitbit,1503960366,1458399600.0,123
fitbit,1503960366,1458403200.0,127
fitbit,1503960366,1458406800.0,198
fitbit,1503960366,1458410400.0,50
fitbit,1503960366,1458414000.0,533
fitbit,1503960366,1458417600.0,433
fitbit,1503960366,1458421200.0,75
fitbit,1503960366,1458424800.0,850
fitbit,1503960366,1458428400.0,4067
fitbit,1503960366,1458432000.0,115
fitbit,1503960366,1458435600.0,0
fitbit,1503960366,1458439200.0,0
fitbit,1503960366,1458442800.0,0
fitbit,1503960366,1458446400.0,0
fitbit,1503960366,1458450000.0,0
fitbit,1503960366,1458453600.0,0
fitbit,1503960366,1458457200.0,0
fitbit,1503960366,1458460800.0,0
fitbit,1503960366,1458464400.0,1109
fitbit,1503960366,1458468000.0,5000
fitbit,1503960366,1458471600.0,1117
fitbit,1503960366,1458475200.0,312
fitbit,1503960366,1458478800.0,343
fitbit,1503960366,1458482400.0,578
fitbit,1503960366,1458486000.0,876
fitbit,1503960366,1458489600.0,1373
fitbit,1503960366,1458493200.0,1841
fitbit,1503960366,1458496800.0,638
fitbit,1503960366,1458500400.0,718
fitbit,1503960366,1458504000.0,421
fitbit,1503960366,1458507600.0,78
fitbit,1503960366,1458511200.0,57
fitbit,1503960366,1458514800.0,552
fitbit,1503960366,1458518400.0,97
fitbit,1503960366,1458522000.0,0
fitbit,1503960366,1458525600.0,0
fitbit,1503960366,1458529200.0,11
fitbit,1503960366,1458532800.0,0
fitbit,1503960366,1458536400.0,0
fitbit,1503960366,1458540000.0,0
fitbit,1503960366,1458543600.0,55
fitbit,1503960366,1458547200.0,1114
fitbit,1503960366,1458550800.0,1113
fitbit,1503960366,1458554400.0,308
fitbit,1503960366,1458558000.0,467
fitbit,1503960366,1458561600.0,1884
fitbit,1503960366,1458565200.0,184
fitbit,1503960366,1458568800.0,298
fitbit,1503960366,1458572400.0,497
fitbit,1503960366,1458576000.0,355
fitbit,1503960366,1458579600.0,588
fitbit,1503960366,1458583200.0,1564
fitbit,1503960366,1458586800.0,396
fitbit,1503960366,1458590400.0,99
fitbit,1503960366,1458594000.0,172
fitbit,1503960366,1458597600.0,371
fitbit,1503960366,1458601200.0,447
fitbit,1503960366,1458604800.0,0
fitbit,1503960366,1458608400.0,0
fitbit,1503960366,1458612000.0,0
fitbit,1503960366,1458615600.0,0
fitbit,1503960366,1458619200.0,0
fitbit,1503960366,1458622800.0,0
fitbit,1503960366,1458626400.0,0
fitbit,1503960366,1458630000.0,0
fitbit,1503960366,1458633600.0,34
fitbit,1503960366,1458637200.0,1732
fitbit,1503960366,1458640800.0,497
fitbit,1503960366,1458644400.0,296
fitbit,1503960366,1458648000.0,322
fitbit,1503960366,1458651600.0,657
fitbit,1503960366,1458655200.0,1657
fitbit,1503960366,1458658800.0,455
fitbit,1503960366,1458662400.0,278
fitbit,1503960366,1458666000.0,953
fitbit,1503960366,1458669600.0,1123
fitbit,1503960366,1458673200.0,1479
fitbit,1503960366,1458676800.0,366
fitbit,1503960366,1458680400.0,349
fitbit,1503960366,1458684000.0,4587
fitbit,1503960366,1458687600.0,351
fitbit,1503960366,1458691200.0,14
fitbit,1503960366,1458694800.0,50
fitbit,1503960366,1458698400.0,29
fitbit,1503960366,1458702000.0,0
fitbit,1503960366,1458705600.0,0
fitbit,1503960366,1458709200.0,0
fitbit,1503960366,1458712800.0,0
fitbit,1503960366,1458716400.0,82
fitbit,1503960366,1458720000.0,534
fitbit,1503960366,1458723600.0,1623
fitbit,1503960366,1458727200.0,504
fitbit,1503960366,1458730800.0,414
fitbit,1503960366,1458734400.0,411
fitbit,1503960366,1458738000.0,1226
fitbit,1503960366,1458741600.0,2674
fitbit,1503960366,1458745200.0,236
fitbit,1503960366,1458748800.0,383
fitbit,1503960366,1458752400.0,411
fitbit,1503960366,1458756000.0,325
fitbit,1503960366,1458759600.0,2937
fitbit,1503960366,1458763200.0,1086
fitbit,1503960366,1458766800.0,61
fitbit,1503960366,1458770400.0,119
fitbit,1503960366,1458774000.0,413
fitbit,1503960366,1458777600.0,311
fitbit,1503960366,1458781200.0,0
fitbit,1503960366,1458784800.0,7
fitbit,1503960366,1458788400.0,8
fitbit,1503960366,1458792000.0,0
fitbit,1503960366,1458795600.0,8
fitbit,1503960366,1458799200.0,0
fitbit,1503960366,1458802800.0,29
fitbit,1503960366,1458806400.0,553
fitbit,1503960366,1458810000.0,2041
fitbit,1503960366,1458813600.0,90
fitbit,1503960366,1458817200.0,63
fitbit,1503960366,1458820800.0,1180
fitbit,1503960366,1458824400.0,770
fitbit,1503960366,1458828000.0,1320
fitbit,1503960366,1458831600.0,504
fitbit,1503960366,1458835200.0,210
fitbit,1503960366,1458838800.0,526
fitbit,1503960366,1458842400.0,66
fitbit,1503960366,1458846000.0,75
fitbit,1503960366,1458849600.0,3858
fitbit,1503960366,1458853200.0,1090
fitbit,1503960366,1458856800.0,185
fitbit,1503960366,1458860400.0,294
fitbit,1503960366,1458864000.0,42
fitbit,1503960366,1458867600.0,126
fitbit,1503960366,1458871200.0,5
fitbit,1503960366,1458874800.0,7
fitbit,1503960366,1458878400.0,0
fitbit,1503960366,1458882000.0,0
fitbit,1503960366,1458885600.0,0
fitbit,1503960366,1458889200.0,40
fitbit,1503960366,1458892800.0,565
fitbit,1503960366,1458896400.0,1545
fitbit,1503960366,1458900000.0,309
fitbit,1503960366,1458903600.0,1226
fitbit,1503960366,1458907200.0,78
fitbit,1503960366,1458910800.0,187
fitbit,1503960366,1458914400.0,419
fitbit,1503960366,1458918000.0,0
