participant-id,timestamp,total-intensity,average-intensity
1503960366,1457740800.0,0,0
1503960366,1457744400.0,0,0
1503960366,1457748000.0,0,0
1503960366,1457751600.0,0,0
1503960366,1457755200.0,0,0
1503960366,1457758800.0,0,0
1503960366,1457762400.0,0,0
1503960366,1457766000.0,0,0
1503960366,1457769600.0,0,0
1503960366,1457773200.0,1,0.016667
1503960366,1457776800.0,26,0.433333
1503960366,1457780400.0,49,0.816667
1503960366,1457784000.0,47,0.783333
1503960366,1457787600.0,20,0.333333
1503960366,1457791200.0,121,2.016667
1503960366,1457794800.0,129,2.15
1503960366,1457798400.0,42,0.7
1503960366,1457802000.0,20,0.333333
1503960366,1457805600.0,2,0.033333
1503960366,1457809200.0,30,0.5
1503960366,1457812800.0,4,0.066667
1503960366,1457816400.0,29,0.483333
1503960366,1457820000.0,41,0.683333
1503960366,1457823600.0,35,0.583333
1503960366,1457827200.0,3,0.05
1503960366,1457830800.0,0,0
1503960366,1457834400.0,1,0.016667
1503960366,1457838000.0,0,0
1503960366,1457841600.0,0,0
1503960366,1457845200.0,0,0
1503960366,1457848800.0,0,0
1503960366,1457852400.0,0,0
1503960366,1457856000.0,1,0.016667
1503960366,1457859600.0,5,0.083333
1503960366,1457863200.0,85,1.416667
1503960366,1457866800.0,130,2.166667
1503960366,1457870400.0,3,0.05
1503960366,1457874000.0,9,0.15
1503960366,1457877600.0,3,0.05
1503960366,1457881200.0,23,0.383333
1503960366,1457884800.0,25,0.416667
1503960366,1457888400.0,5,0.083333
1503960366,1457892000.0,110,1.833333
1503960366,1457895600.0,57,0.95
1503960366,1457899200.0,25,0.416667
1503960366,1457902800.0,9,0.15
1503960366,1457906400.0,17,0.283333
1503960366,1457910000.0,46,0.766667
1503960366,1457913600.0,4,0.066667
1503960366,1457917200.0,3,0.05
1503960366,1457920800.0,0,0
1503960366,1457924400.0,0,0
1503960366,1457928000.0,0,0
1503960366,1457931600.0,0,0
1503960366,1457935200.0,0,0
1503960366,1457938800.0,3,0.05
1503960366,1457942400.0,14,0.233333
1503960366,1457946000.0,61,1.016667
1503960366,1457949600.0,4,0.066667
1503960366,1457953200.0,14,0.233333
1503960366,1457956800.0,9,0.15
1503960366,1457960400.0,1,0.016667
1503960366,1457964000.0,6,0.1
1503960366,1457967600.0,13,0.216667
1503960366,1457971200.0,11,0.183333
1503960366,1457974800.0,17,0.283333
1503960366,1457978400.0,29,0.483333
1503960366,1457982000.0,33,0.55
1503960366,1457985600.0,45,0.75
1503960366,1457989200.0,12,0.2
1503960366,1457992800.0,0,0
1503960366,1457996400.0,90,1.5
1503960366,1458000000.0,3,0.05
1503960366,1458003600.0,2,0.033333
1503960366,1458007200.0,4,0.066667
1503960366,1458010800.0,0,0
1503960366,1458014400.0,1,0.016667
1503960366,1458018000.0,0,0
1503960366,1458021600.0,1,0.016667
1503960366,1458025200.0,1,0.016667
1503960366,1458028800.0,28,0.466667
1503960366,1458032400.0,49,0.816667
1503960366,1458036000.0,17,0.283333
1503960366,1458039600.0,34,0.566667
1503960366,1458043200.0,49,0.816667
1503960366,1458046800.0,16,0.266667
1503960366,1458050400.0,26,0.433333
1503960366,1458054000.0,14,0.233333
