participant-id,session-id,timestamp,source,acc-x-axis,acc-y-axis,acc-z-axis
12,02,1468423289.000000,empatica,62,20,8
12,02,1468423289.031250,empatica,61,19,7
12,02,1468423289.062500,empatica,59,19,12
12,02,1468423289.093750,empatica,58,19,11
12,02,1468423289.125000,empatica,61,20,7
12,02,1468423289.156250,empatica,58,20,6
12,02,1468423289.187500,empatica,58,19,11
12,02,1468423289.218750,empatica,61,18,13
12,02,1468423289.250000,empatica,63,18,13
12,02,1468423289.281250,empatica,59,16,10
12,02,1468423289.312500,empatica,56,19,11
12,02,1468423289.343750,empatica,63,17,12
12,02,1468423289.375000,empatica,63,17,10
12,02,1468423289.406250,empatica,60,16,10
12,02,1468423289.437500,empatica,60,16,12
12,02,1468423289.468750,empatica,61,17,10
12,02,1468423289.500000,empatica,60,17,9
12,02,1468423289.531250,empatica,61,16,10
12,02,1468423289.562500,empatica,62,16,13
12,02,1468423289.593750,empatica,62,15,13
12,02,1468423289.625000,empatica,59,15,11
12,02,1468423289.656250,empatica,58,16,11
12,02,1468423289.687500,empatica,60,16,12
12,02,1468423289.718750,empatica,61,16,12
12,02,1468423289.750000,empatica,61,14,15
12,02,1468423289.781250,empatica,61,15,14
12,02,1468423289.812500,empatica,61,16,12
12,02,1468423289.843750,empatica,59,16,13
12,02,1468423289.875000,empatica,59,15,12
12,02,1468423289.906250,empatica,60,16,12
12,02,1468423289.937500,empatica,61,15,13
12,02,1468423289.968750,empatica,59,15,13
12,02,1468423290.000000,empatica,62,15,12
12,02,1468423290.031250,empatica,60,16,11
12,02,1468423290.062500,empatica,61,16,10
12,02,1468423290.093750,empatica,62,16,10
12,02,1468423290.125000,empatica,63,16,10
12,02,1468423290.156250,empatica,60,16,9
12,02,1468423290.187500,empatica,57,18,6
12,02,1468423290.218750,empatica,63,17,9
12,02,1468423290.250000,empatica,63,15,10
12,02,1468423290.281250,empatica,58,17,7
12,02,1468423290.312500,empatica,59,18,7
12,02,1468423290.343750,empatica,63,17,9
